,instruction_id,conversation_id,utterance,label
14,pizza-ordering-2,dlg-00843e59-d1c8-4ee1-a056-c119ebb34441,hey would you order a pizza for me from the nearest Papa Jhons,pizza-order
15,uber-lyft-2,dlg-00862409-2171-4634-8aef-eba3e3b5671f,I want a pick up today.,ride-book
16,auto-repair-appt-1,dlg-009f7c67-e349-443f-85f5-1fb784a3515d,"Hi, i'd like to schedule an mechanic appointment for my car. ",auto-repair-appt
17,pizza-ordering-1,dlg-00ae0331-b8b0-4b80-a0e9-b9003d53e036,I would like to place an order from Empire,pizza-order
18,movie-tickets-2,dlg-00b2f620-2725-45cf-a4ec-f175e80baf71,"Hi, I'm trying to get tickets to Lego Movie 2 tonight.",movie-ticket
19,movie-ticket-1,dlg-00b75d6e-0d34-4091-90e5-7f118a899d42,We want to see Creed II tonight. Can you order the tickets?,movie-ticket
20,restaurant-table-2,dlg-00b7da4f-929a-4550-b1f5-850e31fab2ea,I want to eat sushi,restaurant-book
21,uber-lyft-1,dlg-00ba2eb7-754a-4b45-b4bb-08c66cbfd26f,"Hi, I would like to request a ride. ",ride-book
22,uber-lyft-1,dlg-00bbe474-c8a8-4978-8713-1b3b7c7f2308,"Hey, I need a pickup at school.",ride-book
23,auto-repair-appt-1,dlg-00c6ab58-2b69-43a5-a6af-25bcc84962ac,How are you today Kelly?,auto-repair-appt
24,uber-lyft-1,dlg-00cdb44e-6fa2-4e7c-a7db-510051c7adac,"Hello, I need you to order me a car through Lyft",ride-book
25,pizza-ordering-2,dlg-00e67415-0846-4830-a106-10428029444c,"Hello Mauro, how are you? Hey, can you do me the favor of asking me for a big family pizza with extra cheese, today I will have dinner with my family",pizza-order
26,movie-tickets-1,dlg-00e7d460-755c-4d5b-b569-dd0ee7660f4d,I would like to buy tickets to go see Glass.,movie-ticket
27,uber-lyft-2,dlg-00eb42dd-8596-4fb0-889a-cb17dfba84c1,hi i would like to get an uber for me and my friend ,ride-book
28,coffee-ordering-1,dlg-00fac91c-cbab-4022-854c-55a095e02da9,I want a grande Caramel Cloud Macchiato,coffee-order
29,coffee-ordering-1,dlg-0104a165-f949-45bf-9129-6a31bc81c704,Hi Sofia. I would like to have Starbucks coffee . Could you please assist me with that?,coffee-order
30,coffee-ordering-1,dlg-01050cec-fb4f-4139-b4cf-10663354cb8d,Holly can you order me a coffee please,coffee-order
31,pizza-ordering-2,dlg-01085bb3-595b-4c63-b7d4-a76612baf536,"Hey, April. Can you place an order for pizza at Giovanni's for me?",pizza-order
32,coffee-ordering-2,dlg-010f257a-a795-4966-a9ed-6f7e1bc5c43f,Hi. I'd like to place an order for Starbucks.,coffee-order
33,pizza-ordering-2,dlg-010f2f9a-eb3a-4b63-a11b-88e382b7d5b4,Can I get a large hand tossed crust pizza please?,pizza-order
34,auto-repair-appt-1,dlg-0117d8f2-3519-4009-bfb5-a6f89b9aa4a6,I'd like to book an appointment at Intelligent Auto Solutions,auto-repair-appt
35,pizza-ordering-2,dlg-0118453e-87c1-4136-8b03-e1c35d943239,We need to order some pizza from papa murphys.,pizza-order
36,movie-tickets-1,dlg-011d5352-93a5-44a8-b9c1-73abefec3a19,"Hey Donna, can you do something for me?",movie-ticket
37,pizza-ordering-2,dlg-012053eb-f08c-4362-b816-fb6c7cd2c9c3,"I've been really craving pizza today, would you mind ordering me something from that place I love. ",pizza-order
38,restaurant-table-2,dlg-01272b9a-a72b-4606-8c3d-672984393e2b,I really want to go to Mariano's for my anniversary this Friday. Will you make me reservations please?,restaurant-book
39,coffee-ordering-1,dlg-012f8c5c-6223-44da-ac67-f40e6e89aaf0,I want to order a coffee from Starbucks,coffee-order
40,coffee-ordering-1,dlg-01319d8c-cac4-44fb-8fe1-242d9d64031e,I would like to order a coffee drink from starbucks,coffee-order
41,pizza-ordering-2,dlg-01330328-e2ba-4641-892a-57186fa1a7bc,Open up the Pizza Store app,pizza-order
42,coffee-ordering-1,dlg-01395f75-fcaa-4ae2-8013-29e893fc84cd,Good morning. I need you to order a coffee drink from Peets for me. ,coffee-order
43,coffee-ordering-1,dlg-013a96a6-9ea7-47b2-a3f4-78368958a429,Hi there. I am wanting you to order a coffee drink for me from Starbucks.,coffee-order
44,pizza-ordering-2,dlg-0142b31c-fddf-41fb-b24d-8f63cd7eaddd,Hi i would like a Godfather Pizza,pizza-order
45,uber-lyft-1,dlg-014a3bde-32c2-4925-b812-31afafb6676b,"I'm in Boulder, can you get me an Uber?",ride-book
46,movie-finder,dlg-01595201-bac0-4e02-8b00-35f01ec2c3ed,Can you help me find a movie to watch?,movie-search
47,uber-lyft-1,dlg-0159546b-0ba1-44de-a4a3-3fcad2cd3d21,Hey I need you to order a ride for me.,ride-book
48,uber-lyft-2,dlg-015a9f6a-54b9-4538-9878-159bc5baf58e,i can't drive. get me a car.,ride-book
49,pizza-ordering-2,dlg-016a3f7b-4f2a-4bea-995c-250bfba2939d,Hey! So I have a gathering tonight and I need a pizza ordered. Do you think you could do that?,pizza-order
50,pizza-ordering-2,dlg-016e0a77-eac9-4454-8ec1-198112b4321b,"Hi, can you order a pizza for me?",pizza-order
51,movie-tickets-2,dlg-018828b3-f1af-4ecf-a297-5c934308ef9d,I believe I'm in the mood for a motion picture viewin experience,movie-ticket
52,movie-tickets-2,dlg-018f87c0-e3fe-4906-89d4-6f8475300711,I want to watch Captain Marvel,movie-ticket
53,auto-repair-appt-1,dlg-01944b14-87d9-498e-ad9f-57d4fe908888,"Hello, My tire pressure is starting to run low.",auto-repair-appt
54,pizza-ordering-1,dlg-01a75d17-160e-4676-865c-a74b90bcc153,pizza tonight im thinking,pizza-order
55,coffee-ordering-1,dlg-01a7a3f2-28e7-49e9-862c-9be06196e462,"Hello, I'm busy driving and would like you to order a coffee for me from Peets",coffee-order
56,movie-tickets-1,dlg-01b29242-1336-4347-8749-ff2562b5e0b7,I am out of town and want to see a movie with my friend.,movie-ticket
57,auto-repair-appt-1,dlg-01b48ef4-48f1-4c1e-81a1-1abd4776d0b9,"Hi, I have something wrong with my car and I need to make an appointment to fix it.",auto-repair-appt
58,movie-tickets-1,dlg-01b49f60-be51-41bc-8ed8-8187b2e5e46e,I'd like to get two tickets for Alita Battle Angel,movie-ticket
59,restaurant-table-1,dlg-01d22820-7df2-425b-b291-d784a16b062d,Tell me good Chinese restaurants in new york,restaurant-search
60,uber-lyft-2,dlg-01de3ce2-f299-4c9f-8824-2a5c3d54523a,Hello I need to get a car please.,ride-book
61,pizza-ordering-2,dlg-01e8291d-6d6b-4f78-80b6-c954e9759025,"Hey Jennifer, could you call in a pizza for me for lunch from Joe's?",pizza-order
62,movie-tickets-1,dlg-01fdbf9b-3aa7-46f6-bc2c-6f891fa8f082,Can you book tickets for Bohemian Rahpsody?,movie-ticket
63,movie-tickets-2,dlg-02151a6b-c34a-47d1-98cb-9a446660047f,Hey I really wan to go to the movies this weekend. Can you please purchase me some tickets?,movie-ticket
64,movie-tickets-1,dlg-02174876-dd74-49e7-af4a-0da7411db742,"Hey Mark , could you buy tickets for the Avengers movie?",movie-ticket
65,movie-tickets-3,dlg-0217be69-5974-4b3e-bf3f-ad2ad3f8e7a2,"Hey Linda, will you call the plaza in Ocala and see if Pet Samamtary or After is play this evening and what time. I will need two tickets , thanks.",movie-ticket
66,pizza-ordering-2,dlg-0220f2a1-0ef8-4c7d-aef9-4956c595d17f,"Hey, can you order a pizza for me? I want to treat my aunt and I.",pizza-order
67,movie-tickets-1,dlg-022fe932-a713-455a-8559-506db7f12010,escape room,movie-ticket
68,pizza-ordering-2,dlg-0263f3bf-a674-4e66-953f-695e584607fe,"Hi, I want to order a pizza.",pizza-order
69,pizza-ordering-2,dlg-02733fbf-54eb-4f30-bf49-edd7af7bbe6a,"Hello, I want to find out if Napolis in Winter Springs has Pizza?",pizza-order
70,coffee-ordering-1,dlg-0284f66b-6f52-45b0-80bf-39f524781393,"Can you please pick me up a grande cherry mocha, at Starbucks?",coffee-order
71,movie-tickets-1,dlg-02875d70-9980-488e-bb19-1577da57441b,Look up showtimes for Spiderman: Into the Spiderverse,movie-ticket
72,auto-repair-appt-1,dlg-028c3da3-4977-48fb-8ccc-16b41ca4d237,Good morning Bertha. Can you please schedule an appointment with Intelligent Auto Solutions? The power steering in my car seems off.,auto-repair-appt
73,coffee-ordering-2,dlg-02931485-04db-49cf-bdba-55e18e54edbc,"Hi, I would like to order coffee from Starbucks",coffee-order
74,restaurant-table-1,dlg-029694e3-66a8-4584-87fc-276e9372c2bb,Hi. Can you book me a table for two tonight. Italian preferably,restaurant-search
75,movie-tickets-1,dlg-029e631b-1064-42e7-af20-434e96843b29,I need you to do me a favor and order tickets for the Bohemian Rhapsody movie.,movie-ticket
76,uber-lyft-2,dlg-02a55479-0fac-46c7-b555-6caffdb988d0,I need to book an Uber ride.,ride-book
77,auto-repair-appt-1,dlg-02a81a3a-513a-4e64-aab8-1486fb1e536a,"Hey! I'm having car problems, can you make an appointment at the repair shop for me?",auto-repair-appt
78,movie-tickets-1,dlg-02bce14f-8d38-4d51-a958-5418a0c576fd,"Hey, can you arrange two tickets for me and a friend at the AMC in Norwalk?",movie-ticket
79,uber-lyft-2,dlg-02cc6602-dd1c-411e-bb50-b4cef8121560,Hey Donna can you order me a LYFT?,ride-book
80,coffee-ordering-1,dlg-02cf82f9-650e-4969-863b-af056c7bf8ac,If they just made a pot fresh I want a venti regular,coffee-order
81,uber-lyft-2,dlg-02d4a029-d570-4323-85e8-9bc49ad5882a,"Hi, we're at Safeco field and need to book at car to our dinner reservation",ride-book
82,coffee-ordering-1,dlg-02d76b78-718e-4943-aa40-00159ce2b769,order a coffee for pick up at starbucks,coffee-order
83,restaurant-table-2,dlg-02edb443-9d6f-4553-af6e-f69778eb0fc5,I'm calling to reserve a table for two for tonight.,restaurant-book
84,coffee-ordering-2,dlg-03017c34-2504-4c82-9102-5e5211373e84,Can you take my Starbucks order for pickup please?,coffee-order
85,restaurant-table-2,dlg-0302389b-1308-4579-b1ba-ef6b45337137,I am looking for an upscale grill with a variety.,restaurant-book
86,movie-tickets-2,dlg-0309bbf7-1456-4a4e-93c9-91a27e07d3cf,Hi I wanna see a movie,movie-ticket
87,restaurant-table-2,dlg-0310afe8-c553-465d-bb17-3a486001d9d9,"Hi, so I was thinking of booking for a reservation at a seafood restaurant.",restaurant-book
88,restaurant-table-2,dlg-0312238e-1581-4889-bf53-a240acd073d8,"Hello, I'm looking to make a reservation.",restaurant-book
89,pizza-ordering-2,dlg-0315e28f-8f52-4aec-a82b-360cbcbe7049,Hello I'd like to place an order.,pizza-order
90,coffee-ordering-2,dlg-0318ff08-55ec-4535-b238-ef3dcc845f75,Starbucks,coffee-order
91,pizza-ordering-1,dlg-03296223-1cb6-4fb6-86cf-684afcc25bcb,I would like to order two pizzas from Marcos Pizza.,pizza-order
92,uber-lyft-2,dlg-033af8eb-b184-4e5e-a4f4-15fced78e289,I would like to get a lyft,ride-book
93,restaurant-table-2,dlg-0341f269-5d30-4ec7-bd67-672f8a715f89,"Hi, I would like to book a table for a restaurant.",restaurant-book
94,auto-repair-appt-1,dlg-0350eb2f-171f-4f96-8acf-88ddf977d56e,"I need help with my car, smoke is coming out of the engine now!",auto-repair-appt
95,movie-tickets-1,dlg-035291b1-755b-4745-9e55-2bca72fd27c2,hi i am thinking of going to the movies today,movie-ticket
96,pizza-ordering-2,dlg-0355fc60-cd07-4c09-9001-9566de6fcdb8,I want to order a pizza from Domino's.,pizza-order
97,pizza-ordering-2,dlg-03598a8e-aea8-40d2-bd55-4dab9fcf8121,"Hi, I would like to order some pizza from Ray's Pizza on 16 Closter Dock Road, Closter, NJ USA.",pizza-order
98,pizza-ordering-1,dlg-03712176-14b4-41ce-881b-6da2b27980fc,"Hi, I would like to order a 'za please",pizza-order
99,pizza-ordering-1,dlg-037eb5e4-a345-485d-81df-cc525f22cac6,"Okay Google, I'd like to order some pizzas.",pizza-order
100,uber-lyft-2,dlg-038828ba-a049-45aa-8696-d5faa4597698,"Hello, I'm calling to order a car to go from my Room 12 at The Holiday Inn to a restaurant and then back to The Holiday Inn later on tonight.",ride-book
101,restaurant-table-2,dlg-0389bc5b-f8dc-463c-950d-50173d52b318,I'm looking for a hip and vibrant restaurant to check out tonight,restaurant-book
102,uber-lyft-1,dlg-038c692e-b245-41fa-b22d-f1a68c7639c4,I need an Uber ride at my location.,ride-book
103,auto-repair-appt-1,dlg-038e5414-bc32-426b-8c19-9e583bf18cc5,"Hi, is it the honda dealer?",auto-repair-appt
104,restaurant-table-2,dlg-038f60c3-b0ef-4a43-a04d-de993e28347b,I would like to make a restaurant reservation for me and two other people,restaurant-book
105,pizza-ordering-2,dlg-0399a198-70ea-4be3-96c6-dd6ee8ffc1b9,"Hi, I am calling to order a pizza.",pizza-order
106,coffee-ordering-1,dlg-03a9c16f-3bab-4d2e-a022-1150e5ef1c47,What kind of cold coffee beverages does starbucks offer?,coffee-order
107,restaurant-table-1,dlg-03b38498-35ed-47dd-9af6-297a6d377759,I'm looking to make reservations for dinner on Saturday in LoDo (Denver); maybe Italian food.,restaurant-search
108,coffee-ordering-1,dlg-03b68c04-9246-4b22-b1ff-ba06a7b9fac8,"How are you Grace today, I would like to order me some coffee from starbucks.",coffee-order
109,uber-lyft-1,dlg-03c38420-1a71-490e-b9ef-8e4f2b45cfd4,I need picked up at the airport can you get me an Uber,ride-book
110,auto-repair-appt-1,dlg-03cce3b2-b801-4aec-b64d-0e16aa08869f,I want to book an appointment for my car.,auto-repair-appt
111,coffee-ordering-1,dlg-03cf6976-6fbc-4a65-a445-faa56e3d23f2,Latte please,coffee-order
112,restaurant-table-2,dlg-03d80f1c-f96e-4035-ab05-68b2d5487bde,"Hi, can you book me a table at Paulina's Mexican Grill?",restaurant-book
113,auto-repair-appt-1,dlg-03dcc9c8-135c-4ee5-97fe-d190c85f3d5c,I'd like to schedule a repair for my car.,auto-repair-appt
114,uber-lyft-1,dlg-03ed6f76-10eb-4b4f-80d0-540ee27e92d1,"Hey, please order an uber from my location",ride-book
115,coffee-ordering-2,dlg-03f2aa98-0ed8-41f5-8013-c8930ef8c1ee,"Hi, can you order me a coffee?",coffee-order
116,pizza-ordering-2,dlg-03f4221f-0e7c-4745-86bd-7b5af6eefd77,I’d like to order a pizza please.,pizza-order
117,coffee-ordering-2,dlg-03fafa4e-6477-442e-b73d-049c8a5f663b,"Hello, I'd like to order a Caramel Cloud Macchiato from Starbucks for pick-up.",coffee-order
118,movie-tickets-3,dlg-04083f7e-e532-4cd7-9caf-3112acfe6704,hi i need tickets to watch dumbo the movie,movie-ticket
119,pizza-ordering-2,dlg-0408e070-c7f2-4626-8c02-7c3c478cf815,Hey can you pick up some from Papa Johns?,pizza-order
120,coffee-ordering-2,dlg-040b705c-9881-4745-9ae8-ab79ffca34c5,"Hi, I need you to call Starbucks and order a coffee for me to pick up shortly.",coffee-order
121,coffee-ordering-2,dlg-040c289b-6029-44ab-8dc6-e5e39afb30cd,I'd like to place an order from Starbucks.,coffee-order
122,auto-repair-appt-1,dlg-0412252c-8b0a-4b49-9412-3493989b6809,Hi. I think I need to take my car into the shop.,auto-repair-appt
123,pizza-ordering-2,dlg-0413155e-3947-4aed-91b9-33993590446f,"call up pizza joey's, I'm starving",pizza-order
124,movie-tickets-1,dlg-0419788a-b1f4-4949-84c6-05ff1dbf1f85,Hey can you get me tickets to How To Train Your Dragon 3?,movie-ticket
125,pizza-ordering-1,dlg-0423761d-4f81-4459-8366-a33fcb206169,I want to eat some pizza for lunch.,pizza-order
126,movie-tickets-1,dlg-042f3b46-cc45-402b-9b98-16feca8df99d,I would like to go see Aquaman,movie-ticket
127,restaurant-table-1,dlg-043df898-9cb5-4cd9-ba0f-7e01a40e88da,"Hi, I'd like to book a reservation.",restaurant-search
128,uber-lyft-1,dlg-043e4c16-3dfd-4e20-b6a3-3b6b803973a5,Hello would like to order and uber,ride-book
129,pizza-ordering-2,dlg-045bfdec-af2a-4984-9d91-eadfd7164e0b,I'd like to order a pizza. Can you help me?,pizza-order
130,uber-lyft-1,dlg-0467747e-0382-423c-aaf2-12752ef07ea2,Hi. I need to get a Lyft.,ride-book
131,auto-repair-appt-1,dlg-046b0bc3-8f2b-4e0e-ace8-47f3d0ddfd89,"Hello, I would like to make an appointment with a mechanic to check on my car. ",auto-repair-appt
132,restaurant-table-1,dlg-046e1009-72e1-4464-9c1b-c9a648a86e65,"Hello! What good Cajun places can you find in Lexington, Kentucky?",restaurant-search
133,movie-tickets-2,dlg-0471dd1a-0359-4964-98ec-eb61189718c2,"Hey, can you please help me buying a movie ticket?",movie-ticket
134,pizza-ordering-2,dlg-04736c90-62c9-4347-bb87-a7b4d1ca86b7,I'd like to order a pizza.,pizza-order
135,pizza-ordering-1,dlg-0474d746-b450-42a8-b577-9148bd0e00a7,"Good Morning Donna, can you do me a favor?",pizza-order
136,pizza-ordering-1,dlg-047eb02f-b859-4cc5-a116-d26472e674d9,"Hi, I would like to get a pizza.",pizza-order
137,restaurant-table-2,dlg-047fbaf5-6fcb-4a13-bc1d-d33329c37c1c,I would like to book at table at Jackson's,restaurant-book
138,movie-tickets-2,dlg-048c7af0-ac75-425b-baf4-e9355b69e81a,Good morning Sara. I will need you to book me a movie ticket for tonight.,movie-ticket
139,movie-tickets-1,dlg-04b0e200-c768-4134-82cb-eb19c84e03df,I need two tickets to see the Lego 2 movie,movie-ticket
140,auto-repair-appt-1,dlg-04bd2fe4-0c64-4fad-8e7b-97ca1ed7a525,"My car seems off, please make an appointment for a mechanic.",auto-repair-appt
141,restaurant-table-1,dlg-04d344c5-9f61-49c5-94d3-9681a297931c,"I'm craving Italian food tonight, do you know any good restaurants?",restaurant-search
142,uber-lyft-1,dlg-04e1c71d-28c1-4a82-b0d8-047721adbb07,I'd like a Lyft ride today.,ride-book
143,coffee-ordering-1,dlg-04edab40-949f-44d4-ae1f-135c64ca3521,I am wanting to order a Caffe Mocha from Starbucks to pick up.,coffee-order
144,restaurant-table-1,dlg-05048c1d-5b42-4caf-bc45-614f7f318560,CAN I BOOK A RESERVATION FOR A HIGH END RESTAURANT AROUND HERE?,restaurant-search
145,movie-tickets-1,dlg-05060d42-3231-44bf-9558-6d6dada3547c,"Hey, Carlos. I need some tickets for Aquaman for tonight.",movie-ticket
146,movie-tickets-1,dlg-050aa5d2-66ac-438c-ba63-754f04cfaea7,"I would like to see the movie, Alita: Battle Angel tonight.",movie-ticket
147,coffee-ordering-2,dlg-050f9879-33cc-4968-babf-308845f42811,"Hi! On your way to work is it possible for you to get me Starbucks? This is my order Green Tea Cream Frappucino venti, light ice, made with soy milk, with whipped cream, with 2 extra scoop of matcha. Thank you!",coffee-order
148,coffee-ordering-2,dlg-0516b0ff-5a57-4b40-b2c0-6365df836c03,"Hello, I need a coffee from Peets, please.",coffee-order
149,movie-tickets-1,dlg-052020b1-2640-43bf-adc6-38be09123e72,I would like to buy tickets to see Captain Marvel,movie-ticket
150,coffee-ordering-1,dlg-0533de49-15a5-4b66-af26-e6294724423e,Does the starbucks near me have the skinny mocha?,coffee-order
151,auto-repair-appt-1,dlg-0533e90c-c87b-4409-b1cb-3ab24df106a1,this is mary at 8147896i need you to book the appointment for the auto shop called Intelligent Auto Solutions,auto-repair-appt
152,movie-tickets-2,dlg-05364966-e379-4892-a6b0-e48d2c6fedaa,"Hi Assistant, I want to know where I can see Dumbo.",movie-ticket
153,coffee-ordering-1,dlg-05377ce2-2dda-4974-a385-326387557c2e,"Hi, I'd like a latte from Starbucks.",coffee-order
154,pizza-ordering-2,dlg-0538388e-8333-45d6-94e4-5e45401310ea,Hi Jessica can you call Southside and order a pizza for me please?,pizza-order
155,auto-repair-appt-1,dlg-053bd1c2-4250-4985-8a7d-116b7cc1abea,"Hello, while I am driving on the highway I feel my car start to shake as a I get to a higher speed.",auto-repair-appt
156,uber-lyft-1,dlg-05438a4c-538f-48c1-bca9-8a3c509c3d48,I would like to order a an uber ride.,ride-book
157,movie-tickets-3,dlg-054afef6-71c3-47a2-890f-98556d604fbb,"I'd like to urchase two tickets on Tuesday, April 16 for the movie Pet Semetary showing at the AMC Empire 25 in New York city.",movie-ticket
158,restaurant-table-2,dlg-054c8e35-7f86-4ae1-80bb-7272dd577689,Asian food in the Richmond District,restaurant-book
159,pizza-ordering-2,dlg-0558b26a-ed4c-4ed0-b202-39b055e7e8ca,Hey Jane. I'm getting hungry. Let's order some pizzas from Boardwalk Pizza.,pizza-order
160,movie-tickets-1,dlg-055c7438-d349-4b14-b282-8cae8f3fecc9,What is the showtimes for tonight for the movie What men wants starts?,movie-ticket
161,pizza-ordering-2,dlg-05684865-f70f-4fc2-b937-823edfd3eccd,it's pizza time,pizza-order
162,auto-repair-appt-1,dlg-057bafc6-7b04-4b82-a96c-7e4792d83604,"Hi, could please make an appointment for my car at Intelligent Auto Solutions?",auto-repair-appt
163,restaurant-table-2,dlg-057f82c9-ce0f-44d1-812c-e2993c91bfc0,"Hi, I'd like to make a restaurant reservation, please.",restaurant-book
164,coffee-ordering-1,dlg-05922e77-1d7d-4d4c-ad94-fefa5e018877,I need to place an order at Starbucks.,coffee-order
165,restaurant-table-3,dlg-059516cf-9c3c-4fe9-9eb6-839c015666fb,"I am looking to make reservations at a chinese restaurant in the Alto, MI area.",restaurant-book
166,uber-lyft-1,dlg-05a70bda-dc27-4d3f-b654-59c381b81241,"Hey, can you get me an Uber from Parkview and Elm to take me to the Riverview Movie Theater in about a half hour, and make sure you tell them I don't like waiting. Please and thank you!",ride-book
167,uber-lyft-1,dlg-05b8907a-10a9-4cc7-bfbd-8255ad9d7ce1,"Hey Marshall, I have plans with some friends to go to the movies, could you get me an Uber?",ride-book
168,pizza-ordering-2,dlg-05bc5f94-1ba4-482e-8a00-b5076c401603,"Hey, Assistant. I want some pizza.",pizza-order
169,restaurant-table-3,dlg-05bf5c7b-dd36-4506-a394-7901412b0b61,"Assistant, can you do me a favor? I want to take my mom out for sushi tonight.",restaurant-book
170,uber-lyft-1,dlg-05c0dff8-6fc9-493b-ad16-742c79ad7e0b,"Hi, I would like to order an Uber ride please ",ride-book
171,movie-tickets-1,dlg-05c5d5b6-6f0b-4f2c-9afe-76371a4ed356,"Hey Google, Can you book tickets for a movie",movie-ticket
172,restaurant-table-1,dlg-05c7c026-833a-48dc-8f87-5bb71efe8ddc,Hey! I want to reserve a restaurant for tonight. I'd love to eat sushi!,restaurant-search
173,auto-repair-appt-1,dlg-05cd8579-c2e5-48ff-bd08-3b86cc90f120,I need to make an appointment at Intelligent Auto Solutions.,auto-repair-appt
174,movie-tickets-2,dlg-05dad7ab-e084-4e69-823c-d784d428265d,I want to see the new Dumbo movie with my partner. Where can I get tickets?,movie-ticket
175,restaurant-table-1,dlg-05ddeeec-2c1e-4909-ba27-1759f234f919,"Hey Megan, John and I want to go out to eat on March 17th.",restaurant-search
176,coffee-ordering-1,dlg-05e0be06-7c37-4787-8712-373240210348,"Hello, I want to order some coffee",coffee-order
177,pizza-ordering-1,dlg-05e4e981-416a-48d5-99c8-e24fdcdc0d50,I would like to place an order for pizza,pizza-order
178,coffee-ordering-2,dlg-05e76992-939c-41bb-8f62-09b6430f9760,"Hi, I would like to order coffee",coffee-order
179,auto-repair-appt-1,dlg-05ed3673-5eaa-457e-ade8-477f5a6293b4,I need to schedule my car maintenance. ,auto-repair-appt
180,coffee-ordering-1,dlg-05f0c1b5-64dd-4efe-abde-2ef508c2d34b,I would like to get a cup of americano,coffee-order
181,pizza-ordering-2,dlg-05f7831f-3bbd-4b74-a4f2-24053f0239a9,Could you oder pizza for me from ginos?,pizza-order
182,uber-lyft-1,dlg-060a6255-3c33-4803-b8a7-25e22bab3dab,Happy Friday! I need you to arrange a car service for me.,ride-book
183,restaurant-table-1,dlg-0611154a-f1f6-4abe-8275-a6e02a12e80d,"Assistant, my mom is coming to town tonight. Can you book us a reservation?",restaurant-search
184,uber-lyft-1,dlg-061ec81e-22f3-43b8-ae2f-e399f8d89566,"Hi, can you order me a Lyft ride for when I am finished my meeting?",ride-book
185,restaurant-table-1,dlg-06210079-42cd-4fd7-8636-06f261272854,"Hi, I'm looking for a reservation at Akiko's , please.",restaurant-search
186,pizza-ordering-2,dlg-06275342-f364-4b7a-b600-1b1d89f47376,Can you order a margherita pizza from Red Rock?,pizza-order
187,coffee-ordering-1,dlg-062d284b-ab52-4abc-87da-53e799e43b3d,"Hey, can you put in an order at Starbucks for me?",coffee-order
188,coffee-ordering-1,dlg-063759ca-6641-4db0-8bb9-8fb63dad92f3,"Zoe, can you please pick me up coffee?",coffee-order
189,restaurant-table-1,dlg-0637ecce-110e-4e01-9d15-72c13e87bd53,"Hi there, I would like to make table reservations at two restaurants.",restaurant-search
190,coffee-ordering-2,dlg-063b9738-97ac-4b28-b013-8da573fe9506,"Hello, I'd like to make a coffee order at Starbucks. ",coffee-order
191,uber-lyft-1,dlg-063f6e99-8eef-4b63-917f-e8d4bca5b064,Can you request me an Uber ride to my location?,ride-book
192,pizza-ordering-2,dlg-06413eb7-8bb5-4ea5-80df-1b09bab6d1f9,I would liketo order a pizza for takeout,pizza-order
193,auto-repair-appt-1,dlg-066170e0-80e3-4a51-af64-b92ebd4f3ea8,"Hey there, I need to make an appointment with a auto repair shop quick.",auto-repair-appt
194,auto-repair-appt-1,dlg-06677282-59e2-4f04-a2b9-e40ccfd723d0,Could you make an appointment for me to get my car into Intelligent Auto Solutions?,auto-repair-appt
195,pizza-ordering-2,dlg-0672185a-e5f6-4100-ae57-f9ee71deea2e,"Hello, I would like you to place a pizza order for pick up.",pizza-order
196,restaurant-table-1,dlg-06797581-5b31-4fcd-800b-8f09930094f2,Hi! I am looking to eat some Italian food tonight.,restaurant-search
