instruction_id,conversation_id,utterance,label
pizza-ordering-2,dlg-0220f2a1-0ef8-4c7d-aef9-4956c595d17f,"Hey, can you order a pizza for me? I want to treat my aunt and I.",pizza-order
pizza-ordering-2,dlg-0263f3bf-a674-4e66-953f-695e584607fe,"Hi, I want to order a pizza.",pizza-order
pizza-ordering-2,dlg-02733fbf-54eb-4f30-bf49-edd7af7bbe6a,"Hello, I want to find out if Napolis in Winter Springs has Pizza?",pizza-order
pizza-ordering-2,dlg-0315e28f-8f52-4aec-a82b-360cbcbe7049,Hello I'd like to place an order.,pizza-order
pizza-ordering-1,dlg-03296223-1cb6-4fb6-86cf-684afcc25bcb,I would like to order two pizzas from Marcos Pizza.,pizza-order
pizza-ordering-2,dlg-0355fc60-cd07-4c09-9001-9566de6fcdb8,I want to order a pizza from Domino's.,pizza-order
pizza-ordering-2,dlg-03598a8e-aea8-40d2-bd55-4dab9fcf8121,"Hi, I would like to order some pizza from Ray's Pizza on 16 Closter Dock Road, Closter, NJ USA.",pizza-order
pizza-ordering-1,dlg-03712176-14b4-41ce-881b-6da2b27980fc,"Hi, I would like to order a 'za please",pizza-order
pizza-ordering-1,dlg-037eb5e4-a345-485d-81df-cc525f22cac6,"Okay Google, I'd like to order some pizzas.",pizza-order
pizza-ordering-2,dlg-0399a198-70ea-4be3-96c6-dd6ee8ffc1b9,"Hi, I am calling to order a pizza.",pizza-order
pizza-ordering-2,dlg-03f4221f-0e7c-4745-86bd-7b5af6eefd77,I’d like to order a pizza please.,pizza-order
pizza-ordering-2,dlg-0408e070-c7f2-4626-8c02-7c3c478cf815,Hey can you pick up some from Papa Johns?,pizza-order
pizza-ordering-2,dlg-0413155e-3947-4aed-91b9-33993590446f,"call up pizza joey's, I'm starving",pizza-order
pizza-ordering-1,dlg-0423761d-4f81-4459-8366-a33fcb206169,I want to eat some pizza for lunch.,pizza-order
pizza-ordering-2,dlg-045bfdec-af2a-4984-9d91-eadfd7164e0b,I'd like to order a pizza. Can you help me?,pizza-order
pizza-ordering-2,dlg-04736c90-62c9-4347-bb87-a7b4d1ca86b7,I'd like to order a pizza.,pizza-order
pizza-ordering-1,dlg-0474d746-b450-42a8-b577-9148bd0e00a7,"Good Morning Donna, can you do me a favor?",pizza-order
pizza-ordering-1,dlg-047eb02f-b859-4cc5-a116-d26472e674d9,"Hi, I would like to get a pizza.",pizza-order
pizza-ordering-2,dlg-0538388e-8333-45d6-94e4-5e45401310ea,Hi Jessica can you call Southside and order a pizza for me please?,pizza-order
pizza-ordering-2,dlg-0558b26a-ed4c-4ed0-b202-39b055e7e8ca,Hey Jane. I'm getting hungry. Let's order some pizzas from Boardwalk Pizza.,pizza-order
pizza-ordering-2,dlg-05bc5f94-1ba4-482e-8a00-b5076c401603,"Hey, Assistant. I want some pizza.",pizza-order
pizza-ordering-1,dlg-05e4e981-416a-48d5-99c8-e24fdcdc0d50,I would like to place an order for pizza,pizza-order
pizza-ordering-2,dlg-05f7831f-3bbd-4b74-a4f2-24053f0239a9,Could you oder pizza for me from ginos?,pizza-order
pizza-ordering-2,dlg-06275342-f364-4b7a-b600-1b1d89f47376,Can you order a margherita pizza from Red Rock?,pizza-order
pizza-ordering-2,dlg-06413eb7-8bb5-4ea5-80df-1b09bab6d1f9,I would liketo order a pizza for takeout,pizza-order
pizza-ordering-2,dlg-0672185a-e5f6-4100-ae57-f9ee71deea2e,"Hello, I would like you to place a pizza order for pick up.",pizza-order
pizza-ordering-1,dlg-06e89f1f-2b54-4577-a722-fb7c41c69bf7,"Hi, I want to place an order from Pizza Pro's in Vernon, NJ.",pizza-order
pizza-ordering-2,dlg-06ffaa28-88c2-4cfe-a7f6-b9d0e0d332b0,Hey can you pick up some dinner from Dominoes?,pizza-order
pizza-ordering-2,dlg-072ca6f7-0cdc-4b36-b3a1-34b3b16b675d,"Hey, Jimmy. I need you to order a pizza for a meeting we are having.",pizza-order
pizza-ordering-1,dlg-0756b689-31f2-4b54-b0f7-937d39915188,"Hello, I would like to place an order for carry out at Papa Johns.",pizza-order
pizza-ordering-2,dlg-07941648-2c58-4c2b-bff2-fa2102d33f04,I would like to order a pizza from Papa Johns to pick up at 1:00pm.,pizza-order
pizza-ordering-2,dlg-079a4259-d8a5-4276-8c5a-a895c15157a3,I will like to order some pizzas from Pizza Hut,pizza-order
pizza-ordering-2,dlg-07b23e9f-9f11-4666-90f5-0ead2fea2cba,I want to order some pizza from Dominos.,pizza-order
pizza-ordering-2,dlg-07fe2a04-0abf-4e92-849c-d5399a02244c,Can you order me a pizza from New Albania Pizza,pizza-order
pizza-ordering-2,dlg-0832caba-4eaa-4085-a7a8-7eacd55fa4e9,"Hey, I'd like to order some pizza for lunch. Marco's sounds good.",pizza-order
pizza-ordering-2,dlg-083b9ce2-4717-463b-8887-a5c43a5f3d2e,Could you call Tony's and put in a pizza order for me to pick up on the way home?,pizza-order
pizza-ordering-2,dlg-08470e23-aa37-4d2e-b961-bb57a7c10acd,Hi! I'd like to order pizza from Domino's.,pizza-order
pizza-ordering-2,dlg-08730738-37ce-4f7a-af62-b4481d28f2f1,"Hello, I'd like to order a large Veggie Supreme pizza please.",pizza-order
pizza-ordering-2,dlg-08802c58-9e0b-409a-8c7f-a8834ff808a4,"Hello, I was thinking I might have you order a pizza from Campisis Today",pizza-order
pizza-ordering-2,dlg-08afb3ed-0e1e-460a-af43-e7322ed7dca0,"Hi, I would like to order a pizza.",pizza-order
pizza-ordering-2,dlg-093d3e20-c1ef-4cd1-b92a-ce5933adc4fa,"Hey, can you order me a pizza? We're having a movie night here and want some food!",pizza-order
pizza-ordering-2,dlg-09400263-fb28-4d99-8ac6-d7bfa4147d7e,Hey! Can you order me a pizza from Joey's?,pizza-order
pizza-ordering-1,dlg-095f2e3f-2c8b-447c-867a-164a5eac257e,Hi I want to order a pizza,pizza-order
pizza-ordering-2,dlg-09ab49ef-4778-4708-af30-6c88af96cda4,Hi I would like to know how much a two topping pizza is?,pizza-order
pizza-ordering-2,dlg-09b78ae2-a321-40c4-9858-958b237a6dc7,I want to order some Pizza Hut.,pizza-order
pizza-ordering-1,dlg-0a51a5b1-4d37-43fe-9c59-d11f02c97f60,"Hi there, will you place an order for me with Pizza hut please?",pizza-order
pizza-ordering-2,dlg-0ad863f7-1d07-4f2c-b191-3076f51f77a6,"Hello there, I would like to order an Ultimate Pepperoni .",pizza-order
pizza-ordering-2,dlg-0bb8788b-929c-498e-ac39-1046a570ea52,HEY. I'D LIKE PIZZA FROM GRIMALDI'S,pizza-order
pizza-ordering-2,dlg-0bbcb1cb-de23-4f13-8aba-58cb0b361ee4,Hi I would like to order a pizza from Lenzini's.,pizza-order
pizza-ordering-2,dlg-0bc00823-c3dc-4635-a423-eb6dad9b43a5,Hi I want to order a pizza with Ultimate Cheesy Crust with classic marinara sauce,pizza-order
pizza-ordering-2,dlg-0c1284a6-caf7-4686-8e92-581e7d988911,I want to order a pizza from Giovanni's Pizzeria on Vineland in North Hollywood.,pizza-order
pizza-ordering-1,dlg-0c191bdf-fd14-4d44-9b5d-d68b292a6362,"Hey Paulo, do you have time to order pizza for me?",pizza-order
pizza-ordering-2,dlg-0c36705a-47a1-4a9e-8e5d-8d9f09c56897,"Hi, I would like to have pizza from my favorite restaurant, Il Piazza.",pizza-order
pizza-ordering-1,dlg-0c56c143-57aa-4d01-9c5d-722ecb5d5b87,"Hey, I need 2 pizzas from Fultano's pizza for my niece's birthday party.",pizza-order
pizza-ordering-2,dlg-0c8f3f62-34af-4ded-9484-81f5f0fb64e3,Hi I would like to order pizza from Domino's,pizza-order
pizza-ordering-2,dlg-0c9aa7e8-b580-4938-9816-2aba6ec9bd65,Hi. I'd like to order a pizza from Marco's.,pizza-order
pizza-ordering-1,dlg-0ca076ec-8be6-4bc3-9ba0-64a3f9016e40,Could you call and place an order for two large pizzas for me and the girlfriend tonight?,pizza-order
pizza-ordering-2,dlg-0ca19dec-2f87-4314-8078-5d1733ed26bf,"Hi there, I want to make an order.",pizza-order
pizza-ordering-2,dlg-0ca93de3-c519-4a28-8c3f-f50d16436794,Hey Lauren. Can you order us a pizza for lunch break around 1pm?,pizza-order
pizza-ordering-1,dlg-0cb98fa9-122c-4b96-b9c1-dc8b5e652f6b,I want to order some pizzas from Donatello's Pizza,pizza-order
pizza-ordering-2,dlg-0cc7dfe7-9090-4453-bccc-d08d4c18a95e,Alexa order a pizza from Caesar's pizza on Somerville Ave,pizza-order
pizza-ordering-2,dlg-0d2312cf-7fb6-45a6-acda-7b616382eae6,I would like to order a Pizza from Dominos.,pizza-order
pizza-ordering-2,dlg-0d293393-b1a6-4ae9-9e27-9b9d2cd9dda7,Hi I'd like to order a pizza.,pizza-order
pizza-ordering-1,dlg-0d2a8012-772f-499e-93a9-213730bf94b8,Hi! I’d like to order a pizza please.,pizza-order
pizza-ordering-2,dlg-0d320d5d-9d66-48bf-9021-93cc64940bae,I would like to get a pizza from little cesears,pizza-order
pizza-ordering-2,dlg-0d3bc2c0-1639-4709-8328-3326c85b343e,"Hi, I would like to order a pizza please",pizza-order
pizza-ordering-1,dlg-0d55e76b-56a5-45fc-84aa-7e9acaefa565,"Assistant, I'd like to order two pizzas from Domino's",pizza-order
pizza-ordering-2,dlg-0d8b6765-e5bb-49ab-b772-fcd530e6050c,Can you check the nearby pizzeria ?,pizza-order
pizza-ordering-1,dlg-0da0aa00-2c79-4e4c-8923-3ad1d3241d49,I'm thinking we will order some pizzas from salvos tonight.,pizza-order
pizza-ordering-2,dlg-0de15cee-4ca3-4a86-b6f7-c11f80baa52b,"Hi Sally, I need you to order a pizza from Joe's Pizza.",pizza-order
pizza-ordering-2,dlg-0e15aa96-c5fc-4bf7-9214-6c65ec0d4414,"I'd like a large pizza, do you have any specials.",pizza-order
pizza-ordering-2,dlg-0e21c8cb-8757-4c44-938e-329ee9de3a26,"Hi, I feel like pizza tonight. Any chance you can place an order for me with Dominos?",pizza-order
pizza-ordering-1,dlg-0e2b05b0-7d2d-47ec-9d84-f9c030b5c1fb,Hey I'm heading home in a bit and I'm just going to grab some pizza from Pizza Zone on the way for the wife and kids. Can you order it for me and I'll grab it on my way?,pizza-order
pizza-ordering-2,dlg-0e77fa3b-7f60-42a8-b465-3baf129aea29,Hello. I was wondering about your pineapple and bacon pizza deal special. Could I possible exchange the bacon topping for pepperoni?,pizza-order
pizza-ordering-2,dlg-0ec5acb8-248b-4fa5-a67d-c58b38f0ae09,Hi! I want to order a pizza from Hot Mama's.,pizza-order
pizza-ordering-2,dlg-0efe80d2-d2c4-4cd4-9339-298fd9d2380a,Hi are you still offering the 2 large 2 topping pizzas for 15 dollars?,pizza-order
pizza-ordering-2,dlg-0f05289b-01c7-4b48-b582-ae2a0e72d8d8,"Hello, I would like to place an order for a pizza from Fyre Pizza.",pizza-order
pizza-ordering-2,dlg-0f0b5e1e-1522-461f-bb71-30469755ac08,Hey do you think you could order a pizza for me at dominos,pizza-order
pizza-ordering-1,dlg-0f1bde85-4dc0-4f4c-a325-7a57f01cade3,Hey Mike. I need two more pizzas from Domino's tonight.,pizza-order
pizza-ordering-2,dlg-0fd1fd37-ddf3-4871-a5ac-37b506af1c40,"Hi, I was calling to order a pizza. Do you guys have any specials today? ",pizza-order
pizza-ordering-2,dlg-1003b024-0cd9-4aae-85c2-303943012ee8,"Hello, I would like to order some pizza for pick-up?",pizza-order
pizza-ordering-2,dlg-101879fd-76c9-4265-b7e6-15b053359970,Place an order for Razorback Pizza.,pizza-order
pizza-ordering-2,dlg-1032c553-426d-4d71-80e8-80eb6a2531c1,"Hello, I was wanting to get a pizza tonight.",pizza-order
pizza-ordering-2,dlg-103ba46c-964d-4934-b10f-015d259eb863,"Hello, I’d like to order a large pizza with pepperoni and green peppers",pizza-order
pizza-ordering-2,dlg-10456f16-5969-4875-b454-6ca86e9dd4a1,I am interested in ordering a Pizza,pizza-order
pizza-ordering-1,dlg-105ec027-0d71-4be4-8b48-f9fe031b8a97,I would like you to order pizza for me.,pizza-order
pizza-ordering-2,dlg-10749e87-b52f-40b4-99c6-2c1b7f04bed5,Hello! I was calling to order a small sized Spicy Chicken Pizza.,pizza-order
pizza-ordering-1,dlg-1081b6ca-df03-4edf-807f-bae8f0f5559d,"Hi, can you order a couple Pizzas for lunch?",pizza-order
pizza-ordering-2,dlg-10f57af2-0125-4401-a6a8-5de0b0e8c86b,I want to order a pizza from Papa John's.,pizza-order
pizza-ordering-2,dlg-10f62b69-3a45-494b-9a96-4e673661c043,Hi I would like to order a large pizza,pizza-order
pizza-ordering-2,dlg-11092c17-3094-4713-83dd-2262c882cb69,I would like for you to order me a pizza from papa johns. Thank you.,pizza-order
pizza-ordering-1,dlg-1113487d-83c6-4124-851c-daa89ee93447,"Jane, do you think you can order me a medium caramel frappe from Starbucks? ",pizza-order
pizza-ordering-2,dlg-1166e1fe-5a35-453f-98f0-59dbd9f45d24,"Hi, I'd like to order a pizza from Pizza Hut, please.",pizza-order
pizza-ordering-2,dlg-11c4ebed-c761-40a9-9abc-844e8d11a0bc,Hi. I'd like to order one of your large 2-topping pizzas for 7.99.,pizza-order
pizza-ordering-2,dlg-11d7e59e-545c-4f50-a49a-3bb0c375f1eb,"Im thinking pizza tonight for dinner, Whats that place you get my pizzas at?",pizza-order
pizza-ordering-1,dlg-11ee2609-74e6-453d-961a-9a583a7ed29e,I need a pizza from Rico's Pizza.,pizza-order
pizza-ordering-2,dlg-11fa34bc-920f-4ada-8dd5-029dc2cfa5bb,Hello. You have two pizzas for $10. I'd like to order two pizzas.,pizza-order
pizza-ordering-2,dlg-11faa541-5293-4a58-bba1-39a64d0e0747,i want to order a pizza from boston pizza,pizza-order
pizza-ordering-2,dlg-1201c8e0-61ea-4bb4-bee9-15b1cf6e5885, I'd like to order a pizza.,pizza-order
pizza-ordering-2,dlg-124bdbec-965c-4984-9d29-335043b41c52,"Hello, can I place an order for a pizza?",pizza-order
pizza-ordering-2,dlg-12c0f138-bf29-4318-a82c-3a573d8f75a2,I want you to order a pizza for later tonight,pizza-order
pizza-ordering-2,dlg-12caf5a6-75d6-4c14-9686-41f89f885c73,Hey Chad I am hungry and I feel like it is a pizza day.,pizza-order
pizza-ordering-2,dlg-13191ea8-b3ea-48ec-a444-d7a76c226bda, Hi. I'd like to order a pizza please.,pizza-order
pizza-ordering-2,dlg-13437b55-a3dc-402e-aac8-ddd28931e91b,"I'd like to get a pizza from Domino's, please.",pizza-order
pizza-ordering-2,dlg-1374e5f7-62e6-4ff4-b039-00834a16332c,Im going to need to order a pizza from Pizza Mondo.,pizza-order
pizza-ordering-2,dlg-141f1a57-87dc-49f7-9ce1-19857b870a48,I want to order some pizza from Pizza Hut.,pizza-order
pizza-ordering-2,dlg-144f953d-7e41-46fb-875d-b03af627e209,I want you to order me an extra large pizza for the Super Bowl Party I'm having.,pizza-order
pizza-ordering-1,dlg-148ff2ef-6606-43c3-86f9-1d2454dbe7d3,"Hi, I am going to visit my parents tonight, I was hoping you could help me order a pizza for our dinner?",pizza-order
pizza-ordering-1,dlg-14b2ee84-4a61-4b1a-9678-d70393b8f2d6,can you order me a large pizza from empire slice house?,pizza-order
pizza-ordering-2,dlg-14b9723f-3d49-4043-bec4-78ab4d3939e0,Hi. I'm wanting to place an order for a pizza from Pizza Hut.,pizza-order
pizza-ordering-2,dlg-1529e008-52ec-44bc-bc52-f63620ccce56,I am thinking about ordering Pizza from Grimaldi's Pizzeria,pizza-order
pizza-ordering-2,dlg-15349a05-da2b-4fd7-ae3d-42c2a6362757,Pizza Pizza,pizza-order
pizza-ordering-2,dlg-1537044f-f072-4154-909d-fc045d446d7d,"Hey, can you get a pizza ordered for me?",pizza-order
pizza-ordering-1,dlg-153fca0d-fc12-47dd-97ff-a928a70e2b54,"Hi, I'd like to order a couple pizzas for pickup.",pizza-order
pizza-ordering-2,dlg-153fdccc-c6b1-4860-8a42-65d1d6852334,"Hello, i would like to order a large cheese pizza",pizza-order
pizza-ordering-2,dlg-1548d8cf-fdb9-41fa-80c8-14603678286f,I would like to order a pizza from Bella Vita's,pizza-order
pizza-ordering-2,dlg-1574229e-5c69-49b7-9a46-f78e427ead34,"Hey hun, could you order me a pizza from please?",pizza-order
pizza-ordering-2,dlg-15cb5336-b2e3-4172-a656-2506f3c8f090,I need a pizza,pizza-order
pizza-ordering-2,dlg-16037a4a-e17f-4798-8ed8-4ad12a22e12d,I'm starving and really in the mood for pizza. Will you order me one please?,pizza-order
pizza-ordering-2,dlg-16614105-035f-4871-984c-8ba80cb94d70,"I need a pizza from Pizza Hut, please.",pizza-order
pizza-ordering-2,dlg-16db1de5-b623-4349-8670-1cc73a438f9b,"Hello, I was calling to order a pizza. Do you guys have any specials today? ",pizza-order
pizza-ordering-2,dlg-16e27159-7795-4785-8134-c99400b8f3a3,"Hey John , could you do me a favor and order pizza for takeout from Domino's?",pizza-order
pizza-ordering-1,dlg-1745c112-be5d-4296-8f15-7907078173a3,I need you to order me a pizza please.,pizza-order
pizza-ordering-2,dlg-17750d9c-7aa3-4524-86a4-f1ea4707bd22,Do you think you could order me a pizza for pick up from Dominos?,pizza-order
pizza-ordering-2,dlg-1781cc8b-4866-41e5-a77c-f2e0874b9e0d,"I would like a Mad Dog pizza, mod size.",pizza-order
pizza-ordering-2,dlg-178f9d9f-eaee-45ec-ad68-49f64decc44f,"Hey I'm really feeling like pizza, can you order one for me please?",pizza-order
pizza-ordering-2,dlg-17b224f0-a666-49aa-a4a6-7689bad56a38,"Hey, I need you to order me a pizza from Pizza Hut.",pizza-order
pizza-ordering-2,dlg-17e84789-6464-4b1f-8a83-56e342612bfd,Hi I would like to order a pizza,pizza-order
pizza-ordering-2,dlg-18053253-e1dd-4da0-a283-881cbeb45c05,"Hey there, I'm trying to get some pizzas from pizza hut",pizza-order
pizza-ordering-2,dlg-181037db-18e9-46d1-8078-a65482388218,Pepi's Pizza. How can I you?,pizza-order
pizza-ordering-2,dlg-183926c8-3297-40c1-acc1-0df594b98920,"Hi, I'd like to order a Pizza from Frank's Pizzas.",pizza-order
pizza-ordering-2,dlg-18416570-4dfa-44a9-8b03-be3dd5d0f503,"Hey Molly, I am going to need thre pizzas for a get together with my friends tonight?",pizza-order
pizza-ordering-2,dlg-18aedad2-53a9-4f1b-98c1-82a4dedd4341,Can you order me some pizzas from Round Table?,pizza-order
pizza-ordering-2,dlg-18fcb5c6-2f8c-4ecc-ab61-692c562fb1e9,"Hey, I'm hungry. Can you order me a pizza?",pizza-order
pizza-ordering-1,dlg-1957c9f6-1bea-42dc-81a4-40a306cd7006,"Hey, can you get me a pizza from Pizza hut real quick?",pizza-order
pizza-ordering-2,dlg-195be955-4240-4d06-a5b5-c52c889e3abe,Does Pizza Hut deliver to our office?,pizza-order
pizza-ordering-2,dlg-196e54b6-0cdf-4c6a-8f4a-d6d224f77615,I would like to order Pizza from Giordano's.,pizza-order
pizza-ordering-2,dlg-19960a9f-7f92-4022-9ad6-7d5efd3fd5e5,"Hi there, could you please help me with an order of Pizza?",pizza-order
pizza-ordering-2,dlg-19b98d57-0f45-43af-8e0a-101e2f2a9d17,"Hi, I was hoping to place an order for take out. What is the wait time?",pizza-order
pizza-ordering-2,dlg-1a1af2ed-d267-4f94-aef6-a870bd217ddf,"Good morning Gladys, I would like you to order for me pizza from Texas Royal Pizza.",pizza-order
pizza-ordering-2,dlg-1a48c430-6637-4a8e-9b55-342a7d913a98,I will like to order some pizzas from Domino's,pizza-order
pizza-ordering-2,dlg-1a693fee-fda6-48be-a2ee-98fa6aadadcf,Will you order me a pizza for dinner?,pizza-order
pizza-ordering-1,dlg-1a75134b-1d62-4b97-918b-ce2ae8632c08,"Assistant, I would like a coffee today.",pizza-order
pizza-ordering-2,dlg-1aa53d7c-7c10-4d11-8131-0e3458962096,"Hey, I'd like to order a pizza from pizza hut",pizza-order
pizza-ordering-2,dlg-1abd8fff-4a1a-47d5-9dc0-7726725ca624,"I'm hungry, can I get a pizza from Papa John's",pizza-order
pizza-ordering-2,dlg-1ae783cf-df06-4994-ab32-fba740de3517,I want to order a pizza from Isabell's Pizzeria for pickup.,pizza-order
pizza-ordering-2,dlg-1b2229fc-e011-455f-b067-95bdf91b37a3,"I would like to order a pizza from Papa Johns on Elm Street in Atlanta, GA",pizza-order
pizza-ordering-2,dlg-1b522e11-0983-4701-8aac-017078461fda,Hi there. I'd like to order some pizza from Brunos..,pizza-order
pizza-ordering-2,dlg-1b916760-70eb-4b9f-b94e-641859b18278,Can you order me a pizza?,pizza-order
pizza-ordering-2,dlg-1bacf42e-2fed-47d7-949e-3cd06813983e,HI i want to order a pizza from pizza hut,pizza-order
pizza-ordering-2,dlg-1bcb4db7-d907-4864-97b8-a73c7d472c9a,"I would like to order something from Bosses Pizza, can you put in an order for me?",pizza-order
pizza-ordering-2,dlg-1bcf62d0-62ae-4125-a8cd-37b1d3918416,hey i am craving broccoli pizza from my little pizzeria,pizza-order
pizza-ordering-2,dlg-1bd6c244-e547-4b93-9b3e-4180decfb23d,Hi! I need you to take care of ordering a pizza for me from Pizzeria Place.,pizza-order
pizza-ordering-2,dlg-1bdd1347-eb45-4e00-aabd-90a565e7a10c,"Hey Emily, can you order me a pizza for delivery to the office?",pizza-order
pizza-ordering-2,dlg-1c1a3c23-b779-4bb4-8518-94a263264871,"Hi Sue, Could you please order me a couple of pizzas from Antico?",pizza-order
pizza-ordering-2,dlg-1c2a3382-363f-4f2f-8406-26df4c927508,"Hi, I was wondering if you could order a pizza for me.",pizza-order
pizza-ordering-1,dlg-1c2cb50c-43b7-4ab5-ba07-46d680c919ab,Hi there I'd like a pizza from Papa John's.,pizza-order
pizza-ordering-2,dlg-1c7846f3-4ca0-4b1a-808c-e6b8527d6bce,I would like for you to order me a pizza from papa dominoes,pizza-order
pizza-ordering-2,dlg-1c9febcf-2752-496c-9379-04c6df007e67,Will you please order me a pizza from the closest Dominos?,pizza-order
pizza-ordering-2,dlg-1d3c62e3-d2b1-476e-a52b-be8d1b25aa8d,"Honey, could I place an order for pick up?",pizza-order
pizza-ordering-2,dlg-1d5e1fa5-6d93-4fae-8292-509b48e95034,"Hello there, I would like to order a large Supreme Pizza from Pizza Hut.",pizza-order
pizza-ordering-2,dlg-1d6a28d8-85f3-4049-a221-b459530c36cb,Order a pizza.,pizza-order
pizza-ordering-2,dlg-1e379d6d-2924-4447-babd-fb564db3c9a2,"Hello, I would like to order a pizza from Mary's Pizza Shack.",pizza-order
pizza-ordering-2,dlg-1e65668f-cc8c-4e12-a587-732f5139da62,"Hello, I'm in the mood for pizza for dinner tonight, would you mind placing an order with Papa John's for me?",pizza-order
pizza-ordering-2,dlg-1ebfb30b-3599-4698-93de-1e51a1d69884,"Hi, I'd like to order a pizza please!",pizza-order
pizza-ordering-1,dlg-1ed3e401-9210-45c1-82ad-982f55247000,"AI can you call Little Caesars on East Dakota in Fresno, CA?",pizza-order
pizza-ordering-2,dlg-1efc782d-481c-4ccc-9dd9-d413e4c9bd3c,I'm going to need Jeff and Ted to work late tonight. Think showing up with pizza's will soften the blow?,pizza-order
pizza-ordering-2,dlg-1f6a4703-808c-4130-befc-996eaadd5676,I want to order a pizza from Bill's Pizza for pickup.,pizza-order
pizza-ordering-2,dlg-1feae5f7-48d1-40fb-a98e-678a3828f874,"Hey, can I get a pizza from Jessepi Peperoni's pie emporium?",pizza-order
pizza-ordering-2,dlg-20030462-487a-44f6-9f9f-9dac92a5c5e9,Do you have any pizza specials tonight?,pizza-order
pizza-ordering-2,dlg-207f209c-4eef-4609-bac3-7b4c0b31faec,"Hello, I would like to place an order for pickup.",pizza-order
pizza-ordering-2,dlg-208f3643-131a-471e-a34b-1c8091091aa3,"Hello, can you please order me a pizza for tonight?",pizza-order
pizza-ordering-2,dlg-20926825-f8a4-4986-a02e-68bbed0b5046,"Hello, I would like to order a large pizza.",pizza-order
pizza-ordering-2,dlg-20aeb7f6-a1f4-40cf-be55-9403257f79c7,Will you please order me lunch?,pizza-order
pizza-ordering-2,dlg-20b42130-2aae-489b-8563-296748118150,Hi I would like to place an order for pickup,pizza-order
pizza-ordering-1,dlg-20f3c001-b0cb-482e-8d16-885fc3acdffc,hi there becky i need your help,pizza-order
pizza-ordering-2,dlg-21006923-8675-4ca6-bc4c-12a3b059fec8,I would like to order a pizza form Home Slice in Austin.,pizza-order
pizza-ordering-2,dlg-210c3d00-ac32-4ce4-b928-9807cfb544c8,I'd like to get a Domino's pizza please.,pizza-order
pizza-ordering-2,dlg-213efbe4-1c5b-4d20-97ba-0798ba469135,"Hi, I saw where you have a 2-topping pizza for 7.99.",pizza-order
pizza-ordering-2,dlg-21f38869-630d-4aea-9809-e49127615228,I would like to get a pizza from pizza hut,pizza-order
pizza-ordering-2,dlg-223fcd62-c4d3-4c91-8759-945d2a1e32b1,I'm going to need you to call me in a pizza at Papa's Pizza.,pizza-order
pizza-ordering-2,dlg-226b7ba7-6e66-44a5-95ef-b57d5bea9d1c,Please order a pizza for me from Giorgio's,pizza-order
pizza-ordering-2,dlg-22d159cf-06f3-42d2-9ea3-c9e069a2b593,I need to order a pizza from Pizza Hut.,pizza-order
